100, 0.07241, 0.005
200, 0.02752, 0.005
300, 0.02327, 0.005
400, 0.02030, 0.005
500, 0.01905, 0.005
600, 0.01725, 0.005
700, 0.01558, 0.005
800, 0.01452, 0.005
900, 0.01366, 0.005
1000, 0.01326, 0.005
1100, 0.01241, 0.005
1200, 0.01190, 0.005
1300, 0.01157, 0.005
1400, 0.01107, 0.005
1500, 0.01060, 0.005
1600, 0.01028, 0.005
1700, 0.00969, 0.005
1800, 0.00996, 0.005
1900, 0.00903, 0.005
2000, 0.00870, 0.005
2100, 0.00863, 0.005
2200, 0.00855, 0.005
2300, 0.00814, 0.005
2400, 0.00804, 0.005
2500, 0.00790, 0.005
2600, 0.00783, 0.005
2700, 0.00735, 0.005
2800, 0.00721, 0.005
2900, 0.00709, 0.005
3000, 0.00719, 0.005
3100, 0.00673, 0.005
3200, 0.00678, 0.005
3300, 0.00681, 0.005
3400, 0.00611, 0.005
3500, 0.00632, 0.005
3600, 0.00621, 0.005
3700, 0.00607, 0.005
3800, 0.00620, 0.005
3900, 0.00606, 0.005
4000, 0.00605, 0.005
4100, 0.00586, 0.005
4200, 0.00584, 0.005
4300, 0.00559, 0.005
4400, 0.00584, 0.005
4500, 0.00562, 0.005
4600, 0.00555, 0.005
4700, 0.00525, 0.005
4800, 0.00522, 0.005
4900, 0.00522, 0.005
5000, 0.00524, 0.005
5100, 0.00479, 0.005
